Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
0	0	0	0	0	0	0	0.762635226140894	0	0	0	0	0
0.220080229816603	0	0	0	0.220080229816603	0	0	0	0	0	0	0	0
1.84287171788714	0	0	0	0	0	0	0	0	0	0	0	0
0	0	5.50770654760438	0	0	0	0	0	0	0	0	0	0
0	NaN	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2.71744401710226	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	30.7824609223326	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	NaN	0	0	0	0	0	0	0	0	0	0
3.81990272935675	0	3.81990272935675	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.123679249405229	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1.90144300028667
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	38.9732208349861	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	NaN	0	0	0	0	0	0
0	0	0	0	0.841282447369819	0	0	0	0	0	0	0	0
0.220080229851452	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	63.8282711206365	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	67.0563549659964
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	36.8149379430881
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	27.0496880934386	0	0	0	0	0	0	0	0
0	5.81373104057088	0	0	0	0	0	0	0	0	0	0	0
0	NaN	0	0	0	0	0	0	0	0	0	0	0
0	29.4569536594354	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.210890319355755
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	0.758028111644203
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	0.123659655281737
0	0	0	0	0	0	0.1236596552389	0	0	0	0	0	0
0	0	0.123659655265766	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	109.544511501038
0	0	0	0	0	0	0	0	0	0	0	0	13.4498580535318
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0.753721094834382	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	55.305590936051
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	109.544511501041	0	0	0	0	0	0	0	0
0	0	0	0	1.81764731519973	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0.804304781266495	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
