r0202_c0,atp_adenosine_5_phosphotransferase_c0,Nucleotide metabolism,0.46940308,0.4857818,0.51289606
r0203_c0,1d_myo_inositol_3_phosphate_phosphohydrolase_c0,Inositol phosphate metabolism,0.06519628,0.32108066,0.367887
r0206_m0_f,s_3_hydroxyisobutyryl_coa_hydrolase_m0,Amino acid metabolism,0.1853725,0.40283864,0.65823752
r0207_m0_f,atp_amp_phosphotransferase_m0,Nucleotide metabolism,0.53393986,0.63395768,0.70134948
r0208_c0_f,atp_nad_plus_2_phosphotransferase_c0,Metabolism of cofactors and vitamins,0.28359556,0.48603604,0.8255718
r0210_c0_f,l_ornithine_2_oxo_acid_aminotransferase_c0,Amino acid metabolism,0.15858514,0.38348876,0.65621512
r0211_c0,o_acetyl_l_homoserine_hydrogen_sulfide_s_3_amino_3_carboxypropyltransferase_c0,Amino acid metabolism,0.52098696,0.49237464,0.46724574
r0212_c0_f,l_valine_2_oxoglutarate_aminotransferase_m0,Amino acid metabolism,0.04569474,0.73499512,0.95564296
r0213_m0_f,homocitrate_synthase_m0,Amino acid metabolism,0.04569474,0.31400488,0.95564296
r0214_c0_f,5_phosphoribosylamine_diphosphate_phospho_alpha_d_ribosyltransferase_glutamate_amidating_c0,Nucleotide metabolism,0.21491468,0.41848936,0.61212982
r0215_c0,atp_cdp_phosphotransferase_c0,Nucleotide metabolism,0.56931512,0.5930178,0.48714578
r0216_c0_f,l_histidinol_phosphate_phosphohydrolase_c0,Amino acid metabolism,0.04569474,0.31400488,0.95564296
r0217_c0_f,mevalonate_nadp_plus_oxidoreductase_coa_acylating_c0,Terpenoid backbone biosynthesis,0.62259268,0.59931012,0.44367436
r0218_m0,2_oxoglutarate_dehydrogenase_complex_m0,Carbohydrate metabolism,0.5055922,0.54051984,0.49729054
r0219_c0_f,pyridoxal_5_phosphate_synthase_c0,Metabolism of cofactors and vitamins,0.04569474,0.31400488,0.95564296
r0223_m0_f,homoisocitrate_hydro_lyase_m0,Amino acid metabolism,0.04569474,0.73499512,0.95564296
r0224_c0_f,pantothenate_synthase_c0,Amino acid metabolism,0.36472736,0.38022664,0.47598062
r0225_c0,o3_acetyl_l_serine_hydrogen_sulfide_2_amino_2_carboxyethyltransferase_c0,Amino acid metabolism,0.54866546,0.51006884,0.44545188
r0226_c0_f,sedoheptulose_7_phosphate_d_glyceraldehyde_3_phosphate_glycolaldehyde_transferase_c0,Carbohydrate metabolism,0.5974637,0.6452974,0.574841
r0227_c0,imp_diphosphate_phospho_d_ribosyltransferase_c0,Nucleotide metabolism,0.49913828,0.49906792,0.48986852
r0228_m0_f,n2_acetyl_l_ornithine_2_oxoglutarate_aminotransferase_m0,Amino acid metabolism,0.18852284,0.39910956,0.72828636
r0229_c0,udp_phosphohydrolase_c0,Nucleotide metabolism,0.57652906,0.5995061,0.4913325
r0230_c0_f,gamma_glutamyltransferase_c0,Amino acid metabolism,0.20709986,0.58797368,0.85362428
r0235_c0_f,atp_glycerone_phosphotransferase_c0,Lipid and fatty acid metabolism,0.5085565,0.60569568,0.6318226
r0236_c0_f,udp_glucose_4_epimerase_c0,Carbohydrate metabolism,0.67420222,0.7288018,0.94652132
r0237_c0_f,n_5_phospho_beta_d_ribosylanthranilate_ketol_isomerase_c0,Amino acid metabolism,0.22900232,0.5255968,0.7825593
r0238_c0_f,uridylate_kinase_g0,Nucleotide metabolism,0.11891402,0.3581284,0.5977552
r0239_c0,pyruvate_carboxylase_c0,Carbohydrate metabolism,0.48436956,0.51217564,0.5253398
r0240_c0_f,1_2_carboxyphenylamino_1_deoxy_d_ribulose_5_phosphate_carboxy_lyasecyclizing_c0,Amino acid metabolism,0.23211988,0.51412104,0.77990732
r0241_c0_f,phosphogluconate_dehydrogenase_c0,Carbohydrate metabolism,0.31987746,0.41181942,0.51419142
r0243_c0_f,l_aspartate_2_oxoglutarate_aminotransferase_c0,Amino acid metabolism,0.2624773,0.47021972,0.69480916
r0244_c0_f,d_ribulose_5_phosphate_3_epimerase_c0,Carbohydrate metabolism,0.24889108,0.42486964,0.54139172
r0245_c0,nadph_oxygen_oxidoreductase_c0,Metabolism of cofactors and vitamins,0.553942,0.52935388,0.47691756
r0246_c0,glycogen_synthase_c0,Carbohydrate metabolism,0.50694812,0.58569152,0.55096672
r0247_c0,amp_aminohydrolase_c0,Nucleotide metabolism,0.68029292,0.60206136,0.34911912
r0249_c0_f,gamma_l_glutamyl_l_cysteine_glycine_ligase_adp_forming_c0,Metabolism of cofactors and vitamins,0.6530129,0.7144273,0.75267346
