rxns	kcats	EC_Numbers
r_0356	530	EC5.4.2.11
r_0357	0.8	EC3.6.1.52 EC3.6.1.60
r_0358	0.03	EC2.7.4.21
r_0359	7	EC2.1.1.314
r_0360	20	EC2.7.1.108
r_0361	70.9	EC2.4.1.83
r_0362	0.0053667;0.0053667;0.0053667;0.0053667	EC2.4.1.109;EC2.4.1.109;EC2.4.1.109;EC2.4.1.109
r_0363	3.4	EC2.7.4.9
r_0364	449;9.6	EC3.6.1.9;EC3.6.1.23
r_0365	6.08	EC3.2.1.15
r_0366	230;230;230;230;230	EC4.2.1.11;EC4.2.1.11;EC4.2.1.11;EC4.2.1.11;EC4.2.1.11
r_0368	12.9;54.39	EC2.7.1.82;EC2.7.1.32
r_0369	0.242	EC3.1.-.-
r_0370	18.7;18.7;18.7;1.0667;18.7	EC3.2.1.58;EC3.2.1.58;EC3.2.1.58;EC3.2.1.6;EC3.2.1.58
r_0373	3.3	EC2.5.1.- EC2.5.1.1 EC2.5.1.29 EC2.5.1.10
r_0399	0.029	EC6.2.1.3
r_0400	0.029	EC6.2.1.3
r_0402	0.029	EC6.2.1.3
r_0410	0.029	EC6.2.1.3
r_0412	0.029	EC6.2.1.3
r_0436	0.3	EC4.99.1.1
r_0437	1000;1000	EC1.11.1.5;EC1.11.1.5
r_0438	12;12;12;12;12	EC1.9.3.1;EC1.9.3.1;EC1.9.3.1;EC1.9.3.1;EC1.9.3.1
r_0439	143;143	EC1.10.2.2;EC1.10.2.2
r_0440	0.000828	EC2.7.7.2
r_0441	18.8	EC1.5.1.39
r_0442	694	EC1.5.1.39
r_0443	1.28	EC1.1.1.284 EC1.1.1.1 EC1.1.1.-
r_0445	5.6	EC1.2.1.2
r_0446	6.08	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0447	6.08	EC1.5.1.5 EC3.5.4.9 EC6.3.4.3
r_0448	13;0.1	EC2.7.1.105 EC3.1.3.46;EC3.1.3.46
r_0449	4.9	EC3.1.3.11
r_0450	46	EC4.1.2.13
r_0451	204.2	EC4.2.1.2
r_0452	204.2	EC4.2.1.2
r_0453	8.5	EC1.3.98.1
r_0454	658	EC1.3.1.6
r_0455	658	EC1.3.1.6
r_0457	180	EC2.3.2.2 EC3.4.19.13
r_0458	55.8	EC2.7.1.6
r_0459	987	EC2.7.7.12
r_0460	10190	EC6.3.2.2
r_0461		
r_0462	1.1	EC2.5.1.10 EC2.5.1.1
r_0463	100.2667	EC2.4.1.25 EC3.2.1.33
r_0464	328	EC3.2.1.3
r_0465		
r_0466	83	EC1.1.1.49
r_0467	1000	EC5.3.1.9
r_0468	11.515	EC2.7.2.11
r_0469	59.26	EC4.1.1.15
r_0470	24	EC1.4.1.2
