S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
2.7.4.3	2.8.1.1	2.7.4.8		2.7.2.8	2.7.1.39	2.7.1.49	3.5.5.1	2.7.2.8		2.7.1.25	3.5.3.11	3.1.3.68	3.5.1.1
2.7.4.6	2.8.1.6	2.7.4.9		2.7.4.11	2.7.1.40	2.7.1.5	3.6.1.1	2.7.4.1		2.7.1.26	3.5.3.19	3.1.3.7	3.5.1.10
2.7.4.7	2.8.1.7	2.7.6.1		2.7.4.14	2.7.1.47	2.7.1.50	3.6.1.15	2.7.4.14		2.7.1.29	3.5.3.4	3.1.3.77	3.5.1.16
2.7.4.8	2.8.1.8	2.7.6.2		2.7.4.2	2.7.1.48	2.7.1.6	3.6.1.23	2.7.4.2		2.7.1.30	3.5.4.1	3.1.3.81	3.5.1.19
2.7.4.9	2.8.3.5	2.7.6.3		2.7.4.3	2.7.1.49	2.7.1.67	3.6.1.31	2.7.4.3		2.7.1.31	3.5.4.10	3.1.4.11	3.5.1.2
2.7.6.1	3.1.1.13	2.7.7.1		2.7.4.6	2.7.1.50	2.7.1.68	3.6.3.10	2.7.4.6		2.7.1.32	3.5.4.12	3.1.4.12	3.5.1.23
2.7.6.2	3.1.1.31	2.7.7.10		2.7.4.7	2.7.1.59	2.7.1.71	3.6.3.14	2.7.4.7		2.7.1.33	3.5.4.16	3.1.4.17	3.5.1.25
2.7.6.3	3.1.1.69	2.7.7.12		2.7.4.8	2.7.1.6	2.7.1.73	3.6.3.6	2.7.4.8		2.7.1.35	3.5.4.19	3.1.4.4	3.5.1.42
2.7.7.1	3.1.1.96	2.7.7.13		2.7.4.9	2.7.1.67	2.7.1.82	3.6.3.8	2.7.4.9		2.7.1.36	3.5.4.25	3.1.4.46	3.5.1.5
2.7.7.12	3.1.2.1	2.7.7.2		2.7.6.1	2.7.1.68	2.7.2.1	3.7.1.1	2.7.6.1		2.7.1.39	3.5.4.3	3.2.1.106	3.5.1.9
2.7.7.13	3.1.2.12	2.7.7.22		2.7.6.2	2.7.1.71	2.7.2.11	3.7.1.2	2.7.6.2		2.7.1.4	3.5.4.5	3.2.1.113	3.5.2.17
2.7.7.14	3.1.2.2	2.7.7.23		2.7.6.3	2.7.1.73	2.7.2.3	3.7.1.3	2.7.6.3		2.7.1.40	3.5.4.6	3.2.1.24	3.5.2.3
2.7.7.15	3.1.2.20	2.7.7.3		2.7.7.1	2.7.1.82	2.7.2.4	4.1.1.1	2.7.7.1		2.7.1.48	3.5.4.9	3.2.1.28	3.5.2.5
